District,State,Area_km2,Population
Adilabad,Andhra Pradesh,16105.00,2741239.00
Agra,Uttar Pradesh,4041.00,2741239.00
Ahmadabad,Gujarat,8107.00,2741239.00
Ahmadnagar,Maharashtra,17048.00,2741239.00
Aizawl,Mizoram,3576.00,2741239.00
Ajmer,Rajasthan,8481.00,2741239.00
Akola,Maharashtra,5676.00,2741239.00
Alappuzha,Kerala,1415.00,2741239.00
Aligarh,Uttar Pradesh,3650.00,2741239.00
Alirajpur,Madhya Pradesh,3182.00,2741239.00
Allahabad,Uttar Pradesh,5482.00,2741239.00
Almora,Uttarakhand,3144.00,2741239.00
Alwar,Rajasthan,8380.00,2741239.00
Ambala,Haryana,1574.00,2741239.00
Ambedkar Nagar,Uttar Pradesh,2350.00,2741239.00
Amravati,Maharashtra,12210.00,2741239.00
Amreli,Gujarat,7397.00,2741239.00
Amritsar,Punjab,2683.00,2741239.00
Anand,Gujarat,3204.00,2741239.00
Anantapur,Andhra Pradesh,19130.00,2741239.00
Anantnag,Jammu and Kashmir,3574.00,2741239.00
Anjaw,Arunachal Pradesh,6190.00,2741239.00
Anugul,Orissa,6375.00,2741239.00
Anuppur,Madhya Pradesh,3747.00,2741239.00
Araria,Bihar,2830.00,2741239.00
Ariyalur,Tamil Nadu,1940.00,2741239.00
Arwal,Bihar,638.00,2741239.00
Ashoknagar,Madhya Pradesh,4674.00,2741239.00
Auraiya,Uttar Pradesh,2016.00,2741239.00
Aurangabad,Maharashtra,3305.00,2741239.00
Aurangabad,Maharashtra,10107.00,2741239.00
Azamgarh,Uttar Pradesh,4054.00,2741239.00
Badgam,Jammu and Kashmir,1361.00,2741239.00
Bagalkot,Karnataka,6552.00,2741239.00
Bageshwar,Uttarakhand,2241.00,2741239.00
Baghpat,Uttar Pradesh,1321.00,2741239.00
Bahraich,Uttar Pradesh,5237.00,2741239.00
Baksa,Assam,2457.00,2741239.00
Balaghat,Madhya Pradesh,9229.00,2741239.00
Balangir,Orissa,6575.00,2741239.00
Baleshwar,Orissa,3806.00,2741239.00
Ballia,Uttar Pradesh,2981.00,2741239.00
Balrampur,Uttar Pradesh,3349.00,2741239.00
Banaskantha,Gujarat,10743.00,2741239.00
Banda,Uttar Pradesh,4408.00,2741239.00
Bandipora,Jammu and Kashmir,345.00,2741239.00
Bangalore,Karnataka,2196.00,2741239.00
Bangalore Rural,Karnataka,2298.00,2741239.00
Banka,Bihar,3020.00,2741239.00
Bankura,West Bengal,6882.00,2741239.00
Banswara,Rajasthan,4522.00,2741239.00
Barabanki,Uttar Pradesh,4402.00,2741239.00
Baramula,Jammu and Kashmir,4243.00,2741239.00
Baran,Rajasthan,6992.00,2741239.00
Barddhaman,West Bengal,7024.00,2741239.00
Bareilly,Uttar Pradesh,4120.00,2741239.00
Bargarh,Orissa,5837.00,2741239.00
Barmer,Rajasthan,28387.00,2741239.00
Barnala,Punjab,1482.00,2741239.00
Barpeta,Assam,2282.00,2741239.00
Barwani,Madhya Pradesh,5427.00,2741239.00
Bastar,Chhattisgarh,10470.00,2741239.00
Basti,Uttar Pradesh,2688.00,2741239.00
Bathinda,Punjab,3353.00,2741239.00
Baudh,Orissa,3098.00,2741239.00
Begusarai,Bihar,1918.00,2741239.00
Belgaum,Karnataka,13433.00,2741239.00
Bellary,Karnataka,8461.00,2741239.00
Betul,Madhya Pradesh,10043.00,2741239.00
Bhadrak,Orissa,2505.00,2741239.00
Bhagalpur,Bihar,2569.00,2741239.00
Bhandara,Maharashtra,4087.00,2741239.00
Bharatpur,Rajasthan,5066.00,2741239.00
Bharuch,Gujarat,6509.00,2741239.00
Bhavnagar,Gujarat,10034.00,2741239.00
Bhilwara,Rajasthan,10455.00,2741239.00
Bhind,Madhya Pradesh,4459.00,2741239.00
Bhiwani,Haryana,4778.00,2741239.00
Bhojpur,Bihar,2395.00,2741239.00
Bhopal,Madhya Pradesh,2772.00,2741239.00
Bid,Maharashtra,10693.00,2741239.00
